"Subject"	"Electrode"	"Race"	"MeanAmp"
44	"CP4"	"White"	1.17357374361731
44	"CPZ"	"Black"	4.06040700687467
44	"CPZ"	"White"	3.35499298575652
44	"CZ"	"Black"	5.5555382601798
44	"CZ"	"White"	5.1813241332975
44	"PZ"	"Black"	1.83774801692226
44	"PZ"	"White"	2.03301510346681
45	"C3"	"Black"	8.60246327868853
45	"C3"	"White"	7.37072859446385
45	"C4"	"Black"	5.87921885245901
45	"C4"	"White"	5.61012082773448
45	"CP3"	"Black"	8.59361289617486
45	"CP3"	"White"	7.30284071486159
45	"CP4"	"Black"	4.58748800546448
45	"CP4"	"White"	4.46185194840097
45	"CPZ"	"Black"	9.56083942622951
45	"CPZ"	"White"	8.80520628863209
45	"CZ"	"Black"	8.58164245901639
45	"CZ"	"White"	8.15935095404461
45	"PZ"	"Black"	8.43030472677596
45	"PZ"	"White"	7.56658766460629
46	"C3"	"Black"	5.84977322404372
46	"C3"	"White"	2.90162774027644
46	"C4"	"Black"	2.45697195858499
46	"C4"	"White"	0.940071873995499
46	"CP3"	"Black"	5.06267506471095
46	"CP3"	"White"	3.47692504018001
46	"CP4"	"Black"	2.96109050905953
46	"CP4"	"White"	1.53770421086468
46	"CPZ"	"Black"	5.72904049467932
46	"CPZ"	"White"	4.48832089360335
46	"CZ"	"Black"	5.08232194420477
46	"CZ"	"White"	3.47222992606879
46	"PZ"	"Black"	5.00436074201899
46	"PZ"	"White"	4.14976769527483
47	"C3"	"Black"	4.29596317473011
47	"C3"	"White"	0.151215701275046
47	"C4"	"Black"	1.26707145141944
47	"C4"	"White"	-1.12240200364298
47	"CP3"	"Black"	4.15180647740903
47	"CP3"	"White"	0.520172058287795
47	"CP4"	"Black"	1.93349096361455
47	"CP4"	"White"	-0.493756721311474
47	"CPZ"	"Black"	3.83859416233507
47	"CPZ"	"White"	0.375744553734064
47	"CZ"	"Black"	3.21761079568173
47	"CZ"	"White"	-0.571839781420768
47	"PZ"	"Black"	4.30656525389844
47	"PZ"	"White"	0.757664517304189
48	"C3"	"Black"	-2.82369880464481
48	"C3"	"White"	-2.19145620167028
48	"C4"	"Black"	-1.18897168715847
48	"C4"	"White"	-1.77560293844726
48	"CP3"	"Black"	-2.68795341530054
48	"CP3"	"White"	-1.21116470770182
48	"CP4"	"Black"	-0.72939894125683
48	"CP4"	"White"	-0.608099721620784
48	"CPZ"	"Black"	-1.68574665300546
48	"CPZ"	"White"	-1.13640439220538
48	"CZ"	"Black"	-1.67691721311475
48	"CZ"	"White"	-1.68075038663779
48	"PZ"	"Black"	-1.30803411885246
48	"PZ"	"White"	0.103729631920812
49	"C3"	"Black"	2.88347488191164
49	"C3"	"White"	1.81965203504805
49	"C4"	"Black"	1.43572120033343
49	"C4"	"White"	0.360695647258338
